"Series";"Time";"Value"
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:47:15+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:47:30+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:47:45+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:48:00+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:48:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:48:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:48:45+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:49:00+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:49:15+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:49:30+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:49:45+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:50:00+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:50:15+02:00";25678
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:50:30+02:00";25678
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:50:45+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:51:00+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:51:15+02:00";25585
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:51:30+02:00";25585
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:51:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:52:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:52:15+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:52:30+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:52:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:53:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:53:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:53:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:53:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:54:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:54:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:54:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:54:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:55:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:55:15+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:55:30+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:55:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:56:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:56:15+02:00";25586
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:56:30+02:00";25586
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:56:45+02:00";25586
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:57:00+02:00";25586
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:57:15+02:00";25586
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:57:30+02:00";25586
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:57:45+02:00";25586
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:58:00+02:00";25586
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T10:58:00+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T10:58:15+02:00";25390
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T10:58:30+02:00";25390
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T10:58:45+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T10:59:00+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T10:59:15+02:00";25492
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T10:59:30+02:00";25492
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T10:59:45+02:00";25492
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:00:00+02:00";25492
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:00:15+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:00:30+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:00:45+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:01:00+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:01:15+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:01:30+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:01:45+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:02:00+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:02:15+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:02:30+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:02:45+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:03:00+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:03:15+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:03:30+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:03:45+02:00";25390
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:04:00+02:00";25390
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:04:15+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:04:30+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:04:45+02:00";25384
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:05:00+02:00";25384
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:05:15+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:05:30+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:05:45+02:00";25384
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:06:00+02:00";25384
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:06:15+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:06:30+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:06:45+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:07:00+02:00";25388
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:07:15+02:00";25483
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:07:30+02:00";25483
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:07:45+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:08:00+02:00";25394
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:08:15+02:00";35609
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:08:30+02:00";35609
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:08:45+02:00";35707
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:09:00+02:00";35707
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:09:15+02:00";35707
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:09:30+02:00";35707
"nvidia-gpu-device-plugin-bdtt6-gpu0";"2020-09-11T11:09:45+02:00";35805
